cgpa,internships,projects,workshops_certifications,aptitude_test_score,soft_skills_rating,extra_curricular_activities,placement_training,ssc_marks,hsc_marks,n_job_applications,personality_type,placement_status,student_id
6.5,1,2,1,80,4.1,No,Yes,66,66,3,2,0,4082
8.0,1,3,2,80,4.8,Yes,Yes,73,87,11,4,1,3721
6.5,1,1,1,64,4.0,No,Yes,55,66,23,2,0,917
8.6,2,2,2,76,4.7,Yes,No,67,84,21,3,1,8721
7.8,2,3,1,90,4.0,Yes,Yes,81,84,14,2,0,7543
7.6,1,2,1,81,4.8,Yes,Yes,80,79,12,2,0,5291
7.3,0,3,0,83,4.3,Yes,No,73,74,19,1,0,3162
7.3,2,3,2,90,4.0,Yes,No,85,87,14,2,1,3598
8.3,2,1,2,81,4.8,Yes,No,89,83,25,2,0,5083
7.4,1,1,0,72,4.2,Yes,Yes,55,66,5,4,1,8927
6.8,1,1,1,81,4.2,No,Yes,55,64,27,2,0,6538
8.2,1,2,2,89,4.8,Yes,Yes,73,70,12,4,1,8046
7.7,1,2,1,75,3.8,No,No,55,64,10,2,0,1204
8.5,1,3,1,72,4.1,Yes,Yes,72,87,12,4,1,4066
8.5,2,2,1,87,4.4,Yes,Yes,81,82,12,3,1,7079
6.9,1,1,1,74,4.3,No,Yes,57,57,13,2,0,617
7.7,2,2,2,84,3.9,No,Yes,86,87,5,2,1,1927
6.8,1,1,0,69,4.0,No,No,55,63,12,2,0,3115
8.1,1,2,0,89,4.8,Yes,Yes,77,83,26,2,0,2642
8.5,2,2,1,83,4.3,Yes,No,55,80,3,2,0,5219
8.2,2,3,2,87,4.8,Yes,Yes,83,83,18,3,1,7654
8.3,2,3,2,90,4.8,Yes,Yes,81,88,4,3,1,8977
7.5,1,2,0,77,4.8,No,Yes,55,59,13,2,0,2563
7.39,0,1,0,86,4.73,No,No,64,62,21,1,0,10126
7.6,1,1,0,75,3.6,No,Yes,55,68,20,2,0,2729
7.7,2,1,1,80,4.7,No,No,56,65,12,2,0,8120
7.4,0,2,0,65,4.4,No,Yes,58,68,22,1,0,6876
6.6,2,1,0,75,4.2,No,Yes,75,70,21,2,0,3903
8.0,1,3,1,76,4.6,No,No,70,67,26,2,0,8009
7.7,0,2,0,79,4.0,No,No,58,72,5,1,0,8622
6.6,1,1,0,87,4.8,No,No,56,65,25,2,0,2627
8.7,2,3,2,90,4.8,Yes,Yes,73,82,30,3,1,2127
7.8,1,1,1,83,3.7,No,Yes,64,71,11,2,0,8419
7.7,1,1,0,69,4.0,No,No,55,69,11,2,0,8225
7.6,1,2,1,89,4.5,No,No,60,64,18,2,0,806
7.8,0,1,1,85,4.3,No,No,70,80,26,4,1,5217
6.5,1,1,0,60,3.9,No,Yes,61,67,15,2,0,3861
7.6,0,3,2,87,4.7,Yes,No,80,84,3,4,1,9057
8.57,1,1,1,65,3.58,No,No,55,75,17,2,0,10098
8.11,1,2,0,83,5.1,No,Yes,55,68,23,2,0,10070
7.5,0,1,1,64,3.7,No,Yes,55,66,25,1,0,6124
8.0,0,1,0,75,3.6,No,Yes,67,84,14,1,0,4635
8.3,0,1,2,90,4.8,Yes,Yes,81,82,22,4,1,1243
7.7,0,1,2,68,4.2,Yes,No,75,71,20,1,0,7226
7.6,1,2,1,86,4.8,Yes,Yes,72,81,15,4,1,5793
8.4,2,3,2,90,4.8,Yes,Yes,74,86,27,3,1,4141
7.4,1,3,1,75,4.5,Yes,Yes,83,67,23,4,1,548
7.7,0,2,2,72,4.8,Yes,No,85,67,3,1,0,3023
7.3,0,2,0,82,4.5,No,Yes,57,82,25,1,0,8205
8.2,2,3,2,88,4.3,Yes,No,70,88,25,3,1,7458
7.4,2,3,2,78,4.3,Yes,Yes,76,82,6,2,0,27
7.4,1,1,0,72,3.6,No,Yes,63,72,19,2,0,5160
7.6,0,1,1,80,4.6,No,No,55,64,29,1,0,5007
6.8,1,1,1,72,4.3,No,Yes,65,60,13,4,1,2509
7.8,1,1,1,83,4.8,Yes,Yes,62,64,10,4,1,1434
6.5,2,3,2,81,3.3,No,Yes,83,76,16,2,1,2583
8.5,1,3,2,88,4.8,Yes,Yes,72,83,27,4,1,1303
7.3,1,2,0,83,4.5,Yes,Yes,56,71,14,4,1,8183
8.1,0,1,1,71,4.4,No,No,85,66,13,1,0,9691
8.1,1,2,1,68,4.8,Yes,Yes,76,74,6,4,1,4569
8.2,0,3,2,85,4.8,Yes,Yes,83,79,6,4,1,6696
7.5,1,1,1,76,3.9,No,No,55,66,25,2,0,1222
7.5,1,3,0,82,4.8,Yes,Yes,65,80,18,2,0,5199
7.5,1,1,1,72,4.4,No,Yes,60,69,20,2,0,2549
8.1,1,2,3,86,4.5,Yes,Yes,88,70,12,4,1,751
8.4,2,3,2,90,4.8,Yes,Yes,82,86,14,3,1,438
8.2,1,1,2,74,4.5,Yes,No,82,69,20,4,1,9515
8.6,1,2,3,75,4.5,Yes,Yes,56,85,22,4,1,3412
7.3,0,1,0,75,4.7,Yes,Yes,67,72,6,4,1,8636
8.4,1,3,0,81,4.8,Yes,Yes,85,88,13,4,1,2848
7.7,2,3,1,85,4.2,Yes,No,83,84,20,2,1,1174
8.2,2,3,2,90,4.8,Yes,Yes,83,82,19,3,1,7795
8.4,2,3,2,90,4.8,Yes,Yes,75,84,22,3,1,2700
7.3,1,1,0,77,3.7,No,No,55,65,16,2,0,9033
7.7,1,2,1,79,4.6,Yes,Yes,68,70,20,2,0,6161
7.6,0,1,1,79,3.5,Yes,Yes,67,63,4,4,1,4814
8.6,1,3,2,90,4.8,Yes,Yes,80,80,22,4,1,2482
7.6,1,1,0,69,4.2,No,Yes,55,66,6,2,0,4149
7.4,0,1,0,79,3.8,No,No,55,67,11,1,0,8609
8.8,1,3,3,90,4.8,Yes,Yes,75,84,26,2,0,2707
6.6,0,1,1,78,4.4,No,Yes,55,73,10,1,0,4848
6.5,1,1,1,78,3.9,No,Yes,67,73,12,4,1,327
7.4,1,2,3,71,4.8,Yes,Yes,85,71,15,2,0,1040
8.1,1,3,2,86,4.6,Yes,Yes,88,84,22,4,1,2638
6.9,0,1,0,77,3.7,No,Yes,55,66,14,1,0,5230
8.5,0,1,0,81,4.2,Yes,Yes,74,65,10,4,1,2500
8.6,1,1,2,75,4.5,Yes,Yes,68,82,7,2,0,1005
7.9,1,3,1,75,4.6,Yes,Yes,80,81,9,2,0,2862
7.6,2,2,3,86,4.8,Yes,Yes,85,84,30,2,1,3234
8.0,2,3,0,77,4.8,Yes,Yes,77,85,3,2,0,1871
8.3,0,3,2,84,4.4,Yes,Yes,76,88,4,4,1,6429
7.5,2,1,0,77,4.3,No,No,69,69,7,2,0,7109
8.6,2,3,2,89,4.7,Yes,Yes,69,79,6,3,1,8549
6.7,0,1,1,60,4.5,No,No,62,59,29,1,0,6551
7.5,1,2,0,77,4.3,No,No,55,74,17,2,0,535
7.5,1,3,1,73,4.0,No,Yes,55,68,22,2,0,6063
6.7,1,3,1,78,4.1,Yes,Yes,55,82,25,4,1,6368
7.3,0,2,2,86,4.8,Yes,Yes,74,86,18,4,1,7659
7.3,1,1,0,81,4.4,No,No,55,65,18,2,0,586
6.8,1,2,1,77,4.35,No,No,62,63,21,2,0,10114
8.0,2,3,3,84,4.0,Yes,Yes,75,60,18,2,0,3036
7.9,1,1,1,73,4.3,No,No,55,82,3,2,0,4603
6.6,1,1,0,60,4.2,No,Yes,62,67,7,2,0,2586
7.0,1,1,1,61,3.5,No,No,55,67,16,2,0,1704
7.2,1,1,1,72,4.0,No,Yes,55,69,23,4,1,4464
6.5,1,3,2,84,4.7,No,No,58,69,27,2,0,5799
8.3,2,3,2,79,4.4,Yes,Yes,74,80,7,3,1,492
7.4,1,1,0,85,3.5,No,No,68,73,30,2,0,3845
8.2,1,2,2,89,4.3,Yes,No,79,80,19,4,1,4526
6.8,1,1,1,71,4.3,No,Yes,60,62,17,2,0,2837
7.4,1,1,0,74,4.1,No,Yes,56,62,11,2,0,2267
8.4,1,2,3,90,4.7,Yes,Yes,84,71,25,4,1,9179
7.7,2,3,0,81,4.8,Yes,Yes,81,83,27,2,0,5309
7.8,0,3,1,90,4.7,No,No,75,74,4,4,1,6759
7.4,1,2,1,70,3.8,Yes,Yes,70,68,8,2,0,4901
8.8,2,3,2,90,4.7,Yes,Yes,81,79,27,3,1,7827
8.2,0,3,2,81,4.3,Yes,No,88,84,8,1,0,3549
8.4,2,2,2,86,4.8,Yes,Yes,72,83,25,3,1,2901
7.7,1,2,2,90,4.8,No,No,62,86,25,2,0,820
8.2,2,3,2,83,3.8,Yes,Yes,73,69,29,2,0,2945
8.1,1,1,2,90,4.8,Yes,Yes,83,72,4,4,1,1917
8.4,2,3,2,90,4.8,Yes,Yes,77,88,12,3,1,3186
6.5,1,2,1,72,4.0,No,No,62,70,24,2,0,3854
8.1,2,3,2,88,4.4,No,No,73,82,18,3,1,6052
6.6,1,1,0,77,3.8,No,Yes,59,71,8,2,0,7546
8.0,1,3,2,78,3.7,No,No,55,71,4,2,0,8315
7.4,1,1,0,68,4.4,No,No,56,64,30,2,0,6313
7.5,1,1,2,67,3.5,Yes,Yes,55,64,19,2,0,8710
7.7,1,2,0,85,4.3,No,Yes,69,74,7,2,0,1134
7.5,1,1,2,69,4.3,Yes,No,77,82,25,2,0,5360
7.3,1,1,0,71,4.4,No,No,55,74,8,4,1,8738
6.8,0,1,1,62,3.5,No,No,55,63,27,1,0,2519
7.9,1,3,0,88,4.7,Yes,Yes,87,85,15,4,1,398
7.2,0,2,0,77,4.6,No,No,61,71,7,1,0,1318
8.0,2,1,1,77,3.8,No,Yes,83,64,26,2,0,7257
8.0,1,1,1,68,4.2,No,Yes,59,66,8,2,0,122
8.6,2,3,2,90,4.8,Yes,Yes,82,87,21,3,1,2450
7.5,1,1,0,73,3.4,No,Yes,80,67,7,2,0,4194
8.3,2,1,1,79,4.2,Yes,No,78,74,8,2,0,3230
7.7,1,1,1,72,4.4,No,No,57,65,20,2,0,1567
7.6,2,1,1,76,3.5,No,Yes,58,81,5,2,0,1985
7.6,0,2,1,85,4.6,No,Yes,72,64,9,4,1,4505
8.2,0,2,2,90,4.8,Yes,Yes,77,83,26,4,1,2602
7.4,1,1,0,77,3.8,No,No,55,65,17,2,0,5675
8.0,0,1,0,82,4.3,No,Yes,72,65,23,1,0,6959
6.5,1,3,1,79,4.2,Yes,Yes,56,65,28,2,0,5668
8.3,0,2,2,84,4.8,Yes,Yes,87,86,20,4,1,2174
8.1,0,2,1,79,4.4,No,No,68,66,18,4,1,3284
6.7,0,3,0,90,4.3,Yes,Yes,79,65,15,4,1,9587
7.8,1,3,0,74,4.2,Yes,No,62,84,22,2,0,3606
8.3,1,1,2,82,4.2,Yes,No,55,87,4,4,1,8757
8.0,0,3,2,90,4.8,Yes,Yes,79,83,22,4,1,2334
8.2,2,3,2,90,4.7,Yes,Yes,85,80,14,3,1,574
7.3,1,1,1,70,4.5,No,Yes,68,73,15,2,0,6449
6.5,1,2,1,72,3.5,No,No,57,65,12,2,0,9258
7.4,2,3,2,71,4.8,Yes,Yes,85,75,9,2,1,982
7.3,1,1,1,74,4.8,No,No,55,66,18,2,0,7370
8.3,2,3,2,90,4.8,Yes,No,85,83,26,3,1,3503
6.5,2,1,1,64,3.8,No,No,61,60,7,2,0,1408
8.4,2,2,2,73,4.8,Yes,No,78,82,16,3,1,536
8.5,1,0,0,81,4.1,No,No,57,71,8,2,0,4302
8.5,2,3,2,90,4.8,Yes,Yes,85,88,20,3,1,7703
8.2,0,3,2,84,4.0,Yes,Yes,80,86,23,4,1,5297
7.4,0,1,1,69,4.3,No,Yes,55,76,30,1,0,7413
8.5,1,3,0,74,4.0,Yes,Yes,80,58,21,2,0,1435
8.3,1,2,1,77,3.5,No,Yes,65,68,13,2,0,7276
6.5,0,1,1,73,3.8,No,Yes,55,71,5,1,0,2580
7.5,2,1,1,82,4.7,No,Yes,76,59,5,2,1,9920
8.5,1,1,1,71,3.8,No,Yes,63,87,24,2,0,3270
7.3,0,1,1,72,3.6,No,Yes,59,67,27,1,0,9747
7.0,0,1,0,85,4.4,No,Yes,66,61,4,1,0,9407
8.4,2,3,2,86,4.4,Yes,Yes,72,61,13,3,1,3370
6.7,1,1,0,80,3.5,No,No,57,62,9,2,0,1868
8.3,1,3,1,86,4.3,Yes,Yes,65,84,25,4,1,1455
7.5,1,3,0,88,4.8,Yes,No,82,85,24,4,1,1787
6.73,1,1,1,82,3.61,No,Yes,67,65,11,2,0,10112
7.7,0,1,0,66,4.2,Yes,Yes,56,69,16,1,0,8116
8.1,1,1,2,76,4.0,No,Yes,71,71,13,2,0,2522
6.7,1,1,2,69,3.5,No,No,77,58,19,2,0,4614
8.5,2,3,2,90,4.5,Yes,Yes,75,82,16,3,1,1821
8.5,1,1,2,90,4.6,Yes,Yes,82,88,3,4,1,9391
8.9,1,3,2,83,4.6,Yes,Yes,71,84,28,4,1,2930
8.2,1,3,0,65,4.1,Yes,No,66,65,5,2,0,52
8.3,1,1,2,82,4.3,Yes,No,55,83,13,2,0,6206
7.7,0,1,1,75,3.6,Yes,Yes,56,65,13,1,0,6420
6.6,1,1,1,74,3.6,No,No,59,78,17,2,0,9825
8.5,2,3,2,90,4.8,Yes,Yes,79,83,18,3,1,3578
8.1,0,2,0,88,4.0,No,Yes,67,84,11,4,1,470
8.4,1,3,1,80,4.4,Yes,Yes,74,80,23,2,0,2630
8.6,2,3,2,87,4.8,Yes,Yes,81,88,5,3,1,5403
8.4,0,1,2,80,4.0,Yes,Yes,62,85,11,4,1,7764
8.2,0,3,2,90,4.2,Yes,No,80,84,14,1,0,8410
7.4,1,1,0,70,3.1,No,No,68,64,13,2,0,6465
6.7,0,1,1,81,4.1,No,Yes,81,64,20,1,0,4429
7.7,1,1,1,73,4.3,No,No,65,63,28,2,0,1859
7.7,1,1,1,61,3.9,No,No,68,61,8,2,0,9726
7.5,1,2,1,69,3.8,No,Yes,57,69,14,2,0,866
7.5,1,2,1,76,3.8,No,No,55,63,18,2,0,5216
6.7,1,1,0,74,4.4,Yes,Yes,55,69,6,2,0,7502
7.6,1,2,0,77,4.0,No,Yes,64,65,26,2,0,5126
7.6,0,3,2,90,4.7,Yes,Yes,80,69,9,4,1,6949
6.8,2,2,0,69,4.8,Yes,No,70,82,20,2,0,9412
8.1,0,3,3,88,4.3,No,Yes,84,83,16,4,1,8898
7.9,0,1,1,61,4.4,No,No,55,64,5,1,0,8139
8.7,1,2,1,76,4.2,Yes,Yes,75,86,26,4,1,6181
8.7,1,3,0,74,4.6,Yes,Yes,86,83,21,4,1,426
7.8,1,1,1,65,3.9,No,No,55,70,4,2,0,189
6.6,0,2,0,83,4.8,Yes,Yes,82,88,15,4,1,5864
7.0,1,1,0,79,4.3,No,No,55,70,13,2,0,8159
7.4,1,2,0,77,4.5,No,Yes,66,86,5,2,0,229
7.4,0,1,0,65,4.2,No,No,55,70,10,1,0,8072
8.4,0,1,1,64,3.6,Yes,Yes,64,65,28,1,0,7389
8.8,2,3,2,90,4.8,Yes,Yes,77,81,20,3,1,2742
7.9,1,2,2,88,4.8,Yes,Yes,70,84,28,4,1,1042
6.6,1,2,0,78,4.1,Yes,No,74,64,3,2,0,8917
8.4,1,1,3,90,4.5,Yes,Yes,72,69,12,4,1,9325
7.5,0,2,0,62,4.3,No,Yes,81,69,27,1,0,9871
7.8,0,3,0,74,4.1,No,Yes,68,67,14,1,0,4280
8.2,0,3,3,90,4.7,Yes,Yes,65,87,23,4,1,472
7.6,1,2,2,65,4.8,Yes,No,58,72,12,2,0,2922
7.7,2,3,2,89,4.8,Yes,Yes,82,87,8,2,1,1906
6.8,1,2,0,68,4.1,Yes,Yes,58,71,21,2,0,9055
6.5,0,1,1,71,4.4,Yes,Yes,55,75,13,1,0,802
7.9,2,1,1,81,4.8,Yes,No,55,63,9,2,1,1488
7.5,1,1,0,76,4.0,Yes,No,55,67,7,2,0,8606
8.2,1,3,2,90,4.8,Yes,No,79,85,15,4,1,3654
7.5,0,1,1,80,4.1,No,Yes,64,65,18,1,0,3772
8.7,2,3,2,87,4.7,Yes,Yes,80,84,4,3,1,228
8.1,0,3,2,85,4.8,Yes,Yes,79,88,12,1,0,4253
6.7,0,1,0,60,3.9,No,Yes,55,58,14,1,0,1129
8.0,2,3,2,90,4.8,Yes,Yes,77,83,21,2,1,5282
8.0,2,3,2,90,4.7,Yes,Yes,78,80,4,2,1,7388
8.9,2,3,2,86,4.7,Yes,Yes,71,88,29,3,1,2209
7.1,1,1,1,72,3.2,No,No,58,64,15,2,0,5229
6.9,1,1,0,78,3.9,Yes,Yes,73,62,5,2,0,9081
6.5,0,1,0,68,4.5,No,No,66,74,19,1,0,4602
7.5,1,1,2,68,3.9,Yes,Yes,80,78,25,2,0,6225
7.4,1,1,0,77,4.5,No,Yes,69,73,27,2,0,3154
6.7,1,3,2,86,4.1,Yes,Yes,86,82,29,4,1,8285
6.6,1,1,1,74,4.0,Yes,Yes,55,65,27,4,1,9287
6.9,1,3,2,65,4.0,No,Yes,79,60,12,2,0,5355
8.4,1,3,2,77,4.5,Yes,Yes,68,83,24,4,1,6476
8.0,1,3,2,72,4.4,Yes,Yes,77,87,18,4,1,9793
8.5,0,3,2,87,4.7,Yes,Yes,58,76,24,4,1,2145
7.4,1,1,3,70,4.5,No,Yes,55,65,21,2,0,8522
8.1,1,3,1,90,4.8,Yes,No,83,87,26,4,1,9173
6.5,0,2,3,85,4.5,Yes,Yes,55,71,15,4,1,2375
6.6,1,1,1,83,3.9,Yes,No,70,66,22,2,0,2578
6.5,1,2,0,82,4.1,Yes,Yes,70,66,25,2,0,1633
6.8,1,1,1,61,3.5,No,No,66,72,8,2,0,5031
7.5,1,1,1,62,4.3,No,No,60,61,14,2,0,2299
7.7,1,1,1,66,4.1,No,Yes,59,61,22,2,0,9432
8.4,1,3,2,90,4.5,Yes,Yes,79,86,29,4,1,157
6.5,1,2,1,68,4.5,Yes,Yes,69,71,10,2,0,6544
7.6,0,2,0,74,4.1,No,Yes,67,73,19,1,0,6979
7.5,1,1,2,68,4.6,Yes,No,62,70,21,2,0,3350
7.5,1,1,1,79,4.7,Yes,Yes,55,71,22,2,0,3996
8.1,1,1,1,79,3.4,No,Yes,78,66,22,2,0,2880
7.5,1,1,1,72,4.0,No,Yes,63,62,13,2,0,3414
7.6,1,2,3,81,4.0,No,Yes,55,83,15,2,0,7415
6.6,0,1,0,78,4.8,No,No,62,72,19,1,0,4408
7.36,1,2,1,85,4.09,Yes,Yes,59,60,3,4,1,10160
7.3,2,1,1,79,4.8,Yes,No,58,66,24,2,0,3769
6.9,1,2,0,73,4.2,Yes,Yes,74,63,27,2,0,9090
7.5,1,1,0,75,4.4,No,No,68,69,14,2,0,4538
7.4,1,2,1,68,3.6,No,No,55,64,11,2,0,5741
6.5,0,3,0,80,4.5,No,Yes,79,64,22,1,0,3913
8.1,1,3,2,75,4.7,Yes,Yes,76,68,3,2,0,9061
7.6,1,1,0,68,3.7,No,No,55,67,8,2,0,9586
8.1,1,1,0,69,4.8,No,No,63,70,12,2,0,5501
7.4,2,3,1,81,4.8,Yes,Yes,71,78,16,2,0,7294
7.4,1,1,1,66,4.0,No,Yes,55,67,6,2,0,2496
7.8,2,3,0,83,4.2,Yes,Yes,80,87,25,2,1,4192
8.3,1,3,2,84,4.4,Yes,Yes,79,88,25,4,1,6983
8.3,0,3,0,88,3.4,Yes,Yes,76,87,16,4,1,2373
7.9,2,3,2,84,4.7,Yes,Yes,72,86,7,2,1,7399
7.8,0,2,1,79,4.7,No,Yes,56,72,5,1,0,5559
7.8,1,2,2,77,4.3,No,No,81,83,12,2,0,3462
8.2,2,3,2,90,4.8,Yes,Yes,85,85,14,3,1,5704
8.2,2,3,3,88,4.8,Yes,Yes,74,86,5,3,1,5617
8.1,0,3,2,90,4.8,Yes,Yes,79,86,13,4,1,7462
7.3,1,1,1,72,3.5,No,Yes,55,67,18,2,0,5759
7.5,0,1,0,68,3.6,No,No,59,63,27,1,0,5248
7.8,0,1,1,77,4.3,No,No,60,68,3,4,1,4681
7.6,2,3,0,78,3.7,Yes,Yes,72,84,27,2,1,2551
8.2,0,3,2,75,4.6,Yes,Yes,85,62,18,4,1,4404
7.5,2,1,2,79,3.9,Yes,Yes,68,82,24,2,0,848
7.4,0,2,0,71,3.8,No,No,55,64,17,1,0,3345
7.3,1,1,0,65,4.0,No,Yes,63,70,27,2,0,939
7.5,0,1,2,81,4.1,Yes,Yes,84,81,4,1,0,5024
6.8,1,1,0,66,3.5,No,No,56,72,30,2,0,5369
7.7,1,1,0,78,3.8,No,Yes,55,68,24,2,0,9042
8.3,1,3,0,90,4.7,Yes,Yes,71,86,24,4,1,8784
7.9,1,2,0,60,4.0,No,No,55,59,20,2,0,3856
8.4,1,2,2,79,4.8,Yes,Yes,61,81,28,2,0,5580
7.9,1,3,1,77,4.3,Yes,Yes,84,85,15,4,1,4634
7.4,1,2,0,70,4.3,No,Yes,55,71,25,2,0,9918
8.1,1,3,1,89,4.7,Yes,Yes,78,85,24,4,1,757
6.5,1,2,0,67,4.1,No,Yes,57,71,16,2,0,8085
7.3,1,1,1,80,4.7,No,No,55,67,10,2,0,2645
7.6,0,3,0,85,4.3,No,Yes,64,83,29,4,1,4739
7.4,1,1,0,71,3.9,No,Yes,55,59,4,2,0,4454
7.8,1,1,0,90,4.3,No,Yes,69,84,7,4,1,3166
8.3,0,3,2,81,4.6,Yes,Yes,80,75,3,4,1,3640
8.1,2,3,0,88,4.6,Yes,Yes,78,67,27,3,1,4630
8.1,1,3,0,90,4.8,Yes,Yes,74,84,17,4,1,9368
7.14,1,2,0,71,4.33,Yes,No,66,74,24,2,0,10153
8.9,1,2,1,76,4.8,Yes,Yes,76,81,20,4,1,4573
6.5,2,1,0,60,4.5,No,No,67,72,8,2,0,5567
8.1,2,2,1,90,4.7,Yes,Yes,68,88,20,3,1,2358
8.0,1,3,2,85,4.8,Yes,Yes,76,83,20,4,1,3419
8.14,1,3,0,92,4.85,Yes,Yes,82,75,28,4,1,10104
8.1,1,2,0,78,4.2,Yes,Yes,84,82,20,4,1,2062
8.4,1,1,0,73,4.2,No,Yes,55,69,30,2,0,550
7.2,1,3,0,77,4.6,No,Yes,75,75,20,2,0,4465
7.9,1,2,2,90,4.2,Yes,Yes,81,86,11,4,1,2813
8.4,2,3,2,88,4.8,Yes,Yes,85,82,30,3,1,9570
8.2,2,3,2,81,4.8,Yes,Yes,84,64,7,2,0,8953
8.1,1,3,2,90,4.2,Yes,Yes,81,86,10,4,1,9177
7.6,1,2,0,86,4.2,No,Yes,58,65,19,2,0,2550
8.0,0,3,2,74,4.7,Yes,Yes,77,88,30,4,1,6322
7.9,1,1,1,67,3.3,Yes,Yes,71,68,20,2,0,3170
7.6,1,3,2,81,4.8,Yes,Yes,78,87,6,4,1,6852
8.3,2,3,2,89,4.8,Yes,Yes,83,82,14,3,1,5027
8.5,2,3,2,90,4.8,Yes,Yes,90,83,9,3,1,4462
7.6,1,2,1,76,4.3,Yes,Yes,74,82,17,4,1,1260
8.2,0,2,2,86,4.5,Yes,No,78,65,8,1,0,8194
7.6,0,1,0,60,4.0,No,Yes,58,66,27,1,0,3949
8.2,0,2,3,90,4.8,Yes,Yes,81,88,3,4,1,8924
8.1,1,1,1,72,4.6,Yes,No,61,63,6,2,0,1025
7.8,1,3,0,83,4.8,Yes,Yes,70,85,23,2,0,6754
8.4,2,1,2,77,4.5,Yes,Yes,71,72,10,2,0,753
7.4,1,1,0,74,3.7,No,No,78,65,27,2,0,4171
7.8,2,2,2,68,4.5,No,Yes,73,87,22,2,0,4003
6.6,1,1,1,85,4.1,Yes,Yes,80,85,11,2,0,7708
8.0,1,1,2,80,4.7,Yes,Yes,80,79,10,2,0,1952
6.5,0,3,2,85,4.6,Yes,Yes,81,84,11,4,1,5187
7.8,0,2,2,74,4.6,Yes,Yes,58,60,26,1,0,352
7.5,1,2,1,77,4.4,Yes,Yes,83,71,30,4,1,1512
8.1,1,1,1,74,4.5,No,No,70,62,20,2,0,5028
8.3,2,3,2,90,4.8,Yes,Yes,73,87,11,3,1,4642
8.3,2,3,2,90,4.8,Yes,Yes,72,88,12,3,1,8089
8.1,0,1,2,90,4.7,Yes,Yes,78,74,15,4,1,6040
8.4,2,1,1,87,4.8,No,Yes,75,78,5,2,0,702
6.8,2,2,2,80,4.5,Yes,Yes,72,82,19,2,1,9850
7.8,0,1,1,79,4.7,Yes,Yes,82,75,8,4,1,3663
7.7,1,1,0,86,4.1,No,Yes,55,70,23,2,0,4878
6.6,2,2,0,73,4.1,No,No,59,68,16,2,0,5442
7.7,1,2,0,72,4.2,No,Yes,68,76,21,2,0,9808
7.7,1,3,0,82,4.2,Yes,Yes,90,88,5,4,1,562
8.3,1,3,2,89,4.7,Yes,Yes,72,80,22,2,0,2319
7.6,1,1,1,60,4.4,No,Yes,59,70,23,2,0,3099
7.5,2,3,1,83,4.2,Yes,Yes,76,75,28,2,1,4095
7.9,0,3,0,87,3.9,Yes,Yes,78,82,5,1,0,3151
8.4,0,2,2,80,3.9,Yes,Yes,76,80,13,4,1,5841
8.4,2,3,1,87,4.7,Yes,Yes,80,82,22,3,1,4468
8.4,2,1,0,77,4.6,No,Yes,55,60,17,2,0,4804
8.5,2,3,2,90,4.7,Yes,Yes,85,82,14,3,1,3574
7.2,1,2,1,65,4.4,No,No,55,74,29,2,0,7147
6.6,0,3,2,87,4.3,No,No,69,69,25,1,0,9102
7.7,0,3,1,82,4.1,No,Yes,82,88,28,4,1,5218
7.3,0,1,0,78,3.3,No,No,60,67,23,1,0,6315
8.3,1,1,1,71,4.8,Yes,Yes,78,83,3,2,0,1048
8.2,1,2,2,90,4.7,Yes,Yes,83,87,16,2,0,2940
7.7,0,1,2,78,4.6,No,Yes,55,85,11,4,1,1809
8.3,1,2,0,83,4.2,Yes,No,79,84,29,2,0,3167
7.6,1,3,1,73,4.4,No,Yes,55,62,6,2,0,415
8.2,0,1,0,90,4.7,No,Yes,67,86,29,1,0,1341
8.3,1,3,2,87,4.6,No,Yes,75,62,30,4,1,9559
6.5,1,1,0,70,4.1,No,No,65,72,9,2,0,7531
6.9,1,3,0,90,3.8,Yes,Yes,80,78,7,4,1,5271
8.2,0,2,1,69,3.5,No,Yes,58,64,18,1,0,4820
7.6,1,1,1,86,4.1,No,No,57,64,14,2,0,4794
8.3,0,3,3,89,4.8,Yes,Yes,74,74,21,4,1,7660
6.8,1,2,1,76,3.8,No,Yes,59,69,18,2,0,1470
8.3,0,3,2,89,4.4,Yes,Yes,75,82,15,1,0,1711
7.6,1,2,0,86,4.7,No,Yes,55,87,9,2,0,4576
7.4,1,3,1,68,3.4,Yes,Yes,60,74,3,2,0,8908
7.8,2,3,0,75,4.5,Yes,Yes,72,81,23,2,1,2272
8.5,1,3,2,90,4.7,Yes,Yes,86,87,10,4,1,1584
7.4,1,1,3,61,4.0,No,No,55,70,14,2,0,1413
7.9,2,3,2,83,4.7,Yes,No,77,80,26,2,1,4270
8.5,1,3,2,89,4.6,Yes,Yes,79,82,10,2,0,8922
8.5,2,3,2,90,4.8,Yes,Yes,81,88,3,3,1,8628
6.5,1,1,1,60,3.8,No,Yes,81,65,24,2,0,6966
8.5,2,3,2,87,4.8,Yes,Yes,74,78,17,3,1,1723
6.5,1,2,0,85,3.4,No,Yes,57,71,14,2,0,2025
6.5,1,1,1,62,4.1,No,Yes,63,67,6,2,0,2213
7.7,2,1,0,78,4.3,Yes,Yes,75,68,10,2,0,1508
6.7,1,1,0,70,3.6,No,No,64,69,5,2,0,2623
8.2,1,3,0,68,3.8,Yes,Yes,75,73,18,4,1,6488
7.3,1,1,1,70,3.9,No,No,59,62,21,2,0,9312
